,level,is_unique,is_novel,is_playable
0,"##########
#--#######
#-########
#--.######
#--#-#####
#---$-####
#-$-.#####
#-$--.####
#-@---####
##########",True,True,True
1,"##########
##########
##########
##--######
#-.--#####
#--$######
#-$-######
#@$-.#####
#.-.######
##########",True,True,False
2,"##########
#-@#######
#$########
#--#######
#-########
#--.######
#-$--#####
#.$-$-####
#-.--.----
##########",True,True,"[{'x': -1, 'y': 0}, {'x': 0, 'y': 1}, {'x': 0, 'y': 1}, {'x': 0, 'y': 1}, {'x': 0, 'y': 1}, {'x': 0, 'y': 1}, {'x': 1, 'y': 0}, {'x': 0, 'y': 1}, {'x': 1, 'y': 0}, {'x': 0, 'y': -1}, {'x': 1, 'y': 0}, {'x': 0, 'y': 1}, {'x': -1, 'y': 0}, {'x': 0, 'y': 1}, {'x': 1, 'y': 0}]"
3,"##########
#-########
#--#######
#-########
#--.######
#@$---$.-#
#-$---$--#
#-#####--#
#.#####--#
##########",True,True,False
4,"##########
##########
##########
#.-#######
#-$--#-###
#--$-.$-##
#@$----.##
##########
##########
##########",True,True,False
5,"##########
#-.------#
#-.-$-$-##
#--##--###
#-$##--###
#--##--###
#-####-###
#-##-.$@##
#--------#
##########",True,True,False
6,"##########
#--.---$.#
#..-$-#--#
#---$#####
#-#####--#
#-#####-.#
#--####-$#
#---###@-#
#--------#
##########",True,True,False
7,"##########
#--#######
#--#######
#-########
#--.######
#-$---$@##
#---$.$###
#--$-#-###
#.-----###
##########",True,True,False
8,"##########
#-########
#--#######
#---######
#.-#######
#--#-#####
#-$---$@##
#-.-$-#-##
#---.---##
##########",True,True,"[{'x': -1, 'y': 0}, {'x': -1, 'y': 0}, {'x': 0, 'y': 1}, {'x': -1, 'y': 0}, {'x': -1, 'y': 0}, {'x': 0, 'y': -1}, {'x': -1, 'y': 0}, {'x': 0, 'y': 1}, {'x': -1, 'y': 0}, {'x': 0, 'y': 1}, {'x': 1, 'y': 0}, {'x': 1, 'y': 0}, {'x': 0, 'y': -1}, {'x': 1, 'y': 0}, {'x': 1, 'y': 0}, {'x': 0, 'y': -1}, {'x': -1, 'y': 0}, {'x': -1, 'y': 0}, {'x': 0, 'y': 1}, {'x': -1, 'y': 0}, {'x': -1, 'y': 0}, {'x': 0, 'y': -1}, {'x': 0, 'y': -1}, {'x': 1, 'y': 0}, {'x': 0, 'y': 1}]"
9,"##########
##########
##########
##########
#.--######
#-$-$-####
#-..$@####
#-#--#####
#-$.######
##########",True,True,True
10,"##########
#-########
#--#######
#-########
#--.######
#--$@#####
#-$$-#####
#-$.######
#---######
##########",True,True,False
11,"##########
#-########
#--#######
#-#.######
#--.######
#--$@#####
#-#$$#####
#.#--#####
#---.#####
##########",True,True,False
12,"##########
#-.--#####
#--$-#####
#--.######
#-#--#####
#-#--@####
#-#-$$-###
#-#-#-#-##
#--------#
##########",True,True,False
13,"##########
#######--#
#######--#
#######$.#
#######--#
#######$-#
#@$-.----#
#-$-##--##
#----..-##
##########",True,True,True
14,"##########
#@-#######
#$.#######
#-$#######
#.---#####
#---$-####
#-#$-#####
#-.-$-####
#----#####
##########",True,True,False
15,"##########
##########
##########
##@-#-#-##
#--$-.---#
#-$--$--##
#-#-######
#-#-######
#-#-.-####
##########",True,True,False
16,"##########
##########
##########
######-###
######-.-#
######-$-#
#######$@#
#####-$$-#
#--.----.#
##########",True,True,False
17,"##########
#####----#
#####-$-.#
#####-$.-#
#####-$$-#
#####-#@.#
#######-.#
######-$-#
######--.#
##########",True,True,"[{'x': 0, 'y': 1}, {'x': 0, 'y': 1}, {'x': -1, 'y': 0}, {'x': 0, 'y': 1}, {'x': 1, 'y': 0}, {'x': 0, 'y': -1}, {'x': 0, 'y': -1}, {'x': 0, 'y': -1}, {'x': 0, 'y': -1}, {'x': 1, 'y': 0}, {'x': 0, 'y': -1}, {'x': 0, 'y': -1}, {'x': 0, 'y': -1}, {'x': -1, 'y': 0}, {'x': -1, 'y': 0}, {'x': -1, 'y': 0}, {'x': 0, 'y': 1}, {'x': 1, 'y': 0}, {'x': 1, 'y': 0}, {'x': 0, 'y': -1}, {'x': 1, 'y': 0}, {'x': 0, 'y': 1}, {'x': 0, 'y': 1}, {'x': 0, 'y': 1}, {'x': 0, 'y': 1}, {'x': 0, 'y': -1}, {'x': 0, 'y': -1}, {'x': 0, 'y': -1}, {'x': -1, 'y': 0}, {'x': -1, 'y': 0}, {'x': -1, 'y': 0}, {'x': 0, 'y': 1}, {'x': 0, 'y': 1}, {'x': 1, 'y': 0}, {'x': 1, 'y': 0}, {'x': 0, 'y': -1}, {'x': 1, 'y': 0}, {'x': 0, 'y': 1}, {'x': -1, 'y': 0}, {'x': -1, 'y': 0}, {'x': -1, 'y': 0}, {'x': 0, 'y': -1}, {'x': 1, 'y': 0}, {'x': 0, 'y': -1}, {'x': 1, 'y': 0}]"
18,"##########
#--#######
#--#######
#--#######
#-#-######
#--.######
#-$--#####
#-$.$-####
#.$@.#####
##########",True,True,"[{'x': -1, 'y': 0}, {'x': 1, 'y': 0}, {'x': 0, 'y': -1}, {'x': 0, 'y': -1}, {'x': 1, 'y': 0}, {'x': 0, 'y': 1}, {'x': 0, 'y': -1}, {'x': -1, 'y': 0}, {'x': 0, 'y': -1}, {'x': -1, 'y': 0}, {'x': -1, 'y': 0}, {'x': 0, 'y': 1}, {'x': 0, 'y': 1}, {'x': 1, 'y': 0}, {'x': 0, 'y': -1}, {'x': -1, 'y': 0}, {'x': 0, 'y': -1}, {'x': 1, 'y': 0}]"
19,"##########
##########
##########
##########
##########
##########
##-.-#####
#-$-$-$.-#
#@$---.--#
##########",True,True,False
20,"##########
#----.---#
#.----#$-#
##-####$-#
##-####--#
##--###--#
##--###.-#
##---##$-#
##--###--#
##########",True,True,False
21,"##########
##########
##########
#--#######
#-#@######
#-$-######
#..#-#-###
#$$.$-$-##
#-.--.-###
##########",True,True,True
22,"##########
##########
#-########
#-########
#--#######
#.$#-#####
#--.$-####
#-#--$@###
#.-.---###
##########",True,True,False
23,"##########
#######--#
#######--#
#######$.#
#######--#
#######-.#
#######.$#
######-$.#
######--@#
##########",True,True,False
24,"##########
#---.-####
#.-$-#####
#-$--#####
#---######
#-#####--#
#-#####$-#
#.##-#@$-#
#--------#
##########",True,True,False
25,"##########
#-------##
#-$--$.-##
#-##-#####
#--##--###
#-##-.####
#--#--####
#-$$.-####
#---@-####
##########",True,True,False
26,"##########
#.--.----#
#-$--$#-.#
#######-.#
#######-@#
#######$-#
#######.-#
#####-$$-#
#####----#
##########",True,True,True
27,"##########
#-########
#--#######
#-########
#--.######
#---$-####
#-$$.#####
#-$.######
#---######
##########",True,False,False
28,"##########
#.-------#
#-.--$-#.#
#--#######
#-#####--#
#-#####-.#
#-#####-@#
#-###---$#
#----##--#
##########",True,True,False
29,"##########
##########
##########
#####@####
#####$##-#
###-#-.$-#
###--#$--#
####-.--.#
####-----#
##########",True,True,True
